symptoms,disease,severity,advice,specialist
fever cough fatigue headache,Flu,Low,Rest drink fluids and take paracetamol,General Physician
fever chills sweating headache nausea,Malaria,High,Consult doctor and start antimalarial drugs,Infectious Disease Specialist
high fever severe headache pain behind eyes,Dengue,High,Immediate medical attention required,General Physician
cough sore throat runny nose mild fever,Common Cold,Low,Rest hydration and steam inhalation,General Physician
chest pain shortness of breath sweating nausea,Heart Attack,Critical,Seek emergency medical help immediately,Cardiologist
frequent urination increased thirst weight loss,Diabetes,Medium,Check blood sugar and consult doctor,Endocrinologist
joint pain swelling stiffness morning pain,Arthritis,Medium,Physiotherapy and anti-inflammatory medication,Rheumatologist
itching skin rash redness swelling,Allergy,Low,Take antihistamines and avoid allergens,Dermatologist
stomach pain diarrhea vomiting dehydration,Food Poisoning,Medium,Oral rehydration and rest,Gastroenterologist
headache sensitivity to light nausea vomiting,Migraine,Medium,Rest in dark room and take prescribed medicine,Neurologist
fatigue pale skin shortness of breath dizziness,Anemia,Medium,Take iron supplements and consult doctor,Hematologist
fever cough night sweats weight loss,Tuberculosis,High,Consult doctor and start TB treatment,Pulmonologist
burning urination frequent urination cloudy urine,Urinary Tract Infection,Medium,Drink water and take antibiotics,Urologist
sore throat difficulty swallowing swollen glands,Tonsillitis,Low,Warm fluids and consult doctor if severe,ENT Specialist
back pain stiffness limited mobility,Spinal Issues,Medium,Physiotherapy and posture correction,Orthopedic
shortness of breath wheezing chest tightness,Asthma,High,Use inhaler and avoid triggers,Pulmonologist
fever stiff neck confusion sensitivity to light,Meningitis,Critical,Emergency medical attention required,Neurologist
nausea vomiting abdominal pain jaundice,Hepatitis,High,Consult doctor and avoid alcohol,Hepatologist
blurred vision eye pain headache,Glaucoma,High,Consult ophthalmologist immediately,Ophthalmologist
persistent sadness loss of interest fatigue,Depression,Medium,Seek mental health support,Psychiatrist
fever cough breathing difficulty low oxygen,COVID-19,High,Isolate hydrate and seek medical advice,Pulmonologist
abdominal pain bloating constipation,IBS,Low,Diet modification and stress management,Gastroenterologist
acid reflux chest burning nausea,GERD,Low,Avoid spicy foods and consult doctor,Gastroenterologist
dry itchy cracked skin,Eczema,Low,Use moisturizer and avoid irritants,Dermatologist
red scaly patches itching,Psoriasis,Medium,Consult dermatologist and use medicated creams,Dermatologist
panic fear sweating rapid heartbeat,Anxiety Disorder,Medium,Practice relaxation and seek therapy,Psychiatrist
mood swings impulsive behavior insomnia,Bipolar Disorder,High,Consult psychiatrist immediately,Psychiatrist
memory loss confusion speech difficulty,Stroke,Critical,Seek emergency medical help,Neurologist
tremors slow movement stiffness,Parkinsons Disease,Medium,Consult neurologist and start therapy,Neurologist
high blood pressure headache blurred vision,Hypertension,Medium,Reduce salt intake and monitor blood pressure,Cardiologist
chest pain irregular heartbeat dizziness,Arrhythmia,High,Consult cardiologist immediately,Cardiologist
persistent cough blood in sputum chest pain,Lung Cancer,Critical,Immediate medical evaluation required,Oncologist
fever rash joint pain conjunctivitis,Zika Virus,Medium,Rest hydrate and consult doctor,Infectious Disease Specialist
high fever abdominal pain rose spots,Typhoid,High,Take antibiotics after consultation,General Physician
abdominal cramps bloody diarrhea fever,Dysentery,High,Hydration and antibiotic treatment,Gastroenterologist
extreme thirst dry mouth low urination,Dehydration,Medium,Increase fluid intake immediately,General Physician
hair loss fatigue weight gain dry skin,Hypothyroidism,Medium,Check thyroid levels and consult doctor,Endocrinologist
rapid heartbeat weight loss sweating anxiety,Hyperthyroidism,Medium,Consult endocrinologist and monitor thyroid,Endocrinologist
leg swelling pain redness warmth,Deep Vein Thrombosis,High,Seek emergency medical attention,Vascular Specialist
fever ear pain hearing difficulty,Ear Infection,Low,Use prescribed antibiotics and rest,ENT Specialist
jaw pain facial swelling tooth sensitivity,Dental Abscess,Medium,Consult dentist immediately,Dentist
snoring daytime sleepiness fatigue,Sleep Apnea,Medium,Weight management and sleep study,Pulmonologist
loss of appetite stomach pain black stools,Stomach Ulcer,High,Avoid spicy foods and consult doctor,Gastroenterologist
yellow skin dark urine fatigue,Liver Disease,High,Consult hepatologist and avoid alcohol,Hepatologist
persistent thirst blurred vision fatigue,High Blood Sugar,Medium,Monitor glucose and consult doctor,Endocrinologist
low blood sugar sweating shaking confusion,Hypoglycemia,High,Consume glucose immediately and monitor levels,Endocrinologist
difficulty breathing swollen lips itching,Anaphylaxis,Critical,Use epinephrine and seek emergency help,Allergist
fever fatigue swollen lymph nodes,HIV Infection,High,Get tested and consult infectious disease specialist,Infectious Disease Specialist
muscle weakness drooping eyelids double vision,Myasthenia Gravis,High,Consult neurologist immediately,Neurologist
severe abdominal pain vomiting fever,Appendicitis,Critical,Emergency surgery may be required,General Surgeon
bone pain frequent fractures fatigue,Osteoporosis,Medium,Calcium vitamin D and exercise,Orthopedic
fever painful rash burning sensation,Shingles,Medium,Antiviral medication and pain management,Dermatologist
swollen feet fatigue shortness of breath,Kidney Disease,High,Consult nephrologist and monitor kidney function,Nephrologist
difficulty concentrating hyperactivity impulsiveness,ADHD,Medium,Behavioral therapy and consultation,Psychiatrist
dry cough chest tightness fatigue,Bronchitis,Medium,Rest hydration and avoid smoking,Pulmonologist
painful urination pelvic pain fever,Kidney Infection,High,Antibiotics and increased hydration,Nephrologist
eye redness discharge itching,Conjunctivitis,Low,Maintain hygiene and use eye drops,Ophthalmologist
vomiting dizziness ringing ears,Vertigo,Medium,Rest and consult ENT specialist,ENT Specialist
cold hands fatigue pale skin,Low Blood Pressure,Low,Increase fluids and monitor blood pressure,Cardiologist
unexplained bruising bleeding fatigue,Leukemia,Critical,Immediate hematology consultation,Hematologist
pelvic pain irregular periods acne,PCOS,Medium,Consult gynecologist and lifestyle management,Gynecologist
fever cough chest congestion mucus,Pneumonia,High,Antibiotics and medical supervision,Pulmonologist
painful joints butterfly rash fatigue,Lupus,High,Consult rheumatologist and monitor symptoms,Rheumatologist
difficulty swallowing chest pain acid reflux,Esophagitis,Medium,Avoid acidic foods and consult doctor,Gastroenterologist
